"","Traits...Time","Traits"
"1","Susceptibility to diseases - 3 MAP","Susceptibility to diseases"
"2","Susceptibility to pests - 3 MAP","Susceptibility to pests"
"3","Vigor - 3 MAP","Vigor"
"4","Branching habit - 6 MAP","Branching habit"
"5","General appearance - 6 MAP","General appearance"
"6","Overall performance - 9 MAP","Overall performance "
"7","Plant height - 9 MAP","Plant height "
"8","Suitability soils - 9 MAP","Suitability soils "
"9","Boiled root mealinenss - 12 MAP","Boiled root mealinenss"
"10","Boiled root softness - 12 MAP","Boiled root softness"
"11","Ease of drying - 12 MAP","Ease of drying"
"12","Ease of mixing flour paste - 12 MAP","Ease of mixing flour paste"
"13","Flour based meal colour - 12 MAP","Flour based meal colour"
"14","Fresh root shape - 12 MAP","Fresh root shape"
"15","Fresh root size - 12 MAP","Fresh root size"
"16","Fresh root yield - 12 MAP","Fresh root yield"
"17","Less fibrous boiled root - 12 MAP","Less fibrous boiled root"
"18","Overall performance from planting to flour meal - 12 MAP","Overall performance from planting to flour meal"
"19","Overall performance harvest - 12 MAP","Overall performance harvest"
"20","Overall preferred fresh roots - 12 MAP","Overall preferred fresh roots"
"21","Overall preferred from planting to boiled food - 12 MAP","Overall preferred from planting to boiled food"
"22","Preferred boiled food - 12 MAP","Preferred boiled food"
"23","Preferred flour based meal - 12 MAP","Preferred flour based meal"
"24","Stem quality - 12 MAP","Stem quality"
"25","Taste of flour meal - 12 MAP","Taste of flour meal"
"26","Texture of flour meal - 12 MAP","Texture of flour meal"
